id,created_at,updated_at,s_node_id,e_node_id,length,street_id,max_velocity,street_level,name,type,type_bus_station,type_car,type_cinema,type_clothes,type_company,type_convenience,type_fuel,type_government,type_house,type_marketplace,type_motorway,type_motorway_link,type_pitch,type_primary,type_primary_link,type_residential,type_school,type_secondary,type_secondary_link,type_tertiary,type_tertiary_link,type_trunk,type_trunk_link,type_unclassified,type_university
52,2020-10-18T13:26:27.656Z,2020-10-18T13:26:27.656Z,8145,5561,0.005,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,2020-10-18T13:26:27.680Z,2020-10-18T13:26:27.680Z,1241,5459,0.025,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,2020-10-18T13:26:27.706Z,2020-10-18T13:26:27.706Z,5459,1092,0.019,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,2020-10-18T13:26:27.709Z,2020-10-18T13:26:27.709Z,1092,5459,0.019,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,2020-10-18T13:26:27.779Z,2020-10-18T13:26:27.779Z,4016,5453,0.029,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,2020-10-18T13:26:27.890Z,2020-10-18T13:26:27.890Z,10522,905,0.028,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,2020-10-18T13:26:27.914Z,2020-10-18T13:26:27.914Z,5461,10522,0.036,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,2020-10-18T13:26:27.918Z,2020-10-18T13:26:27.918Z,10521,5461,0.033,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,2020-10-18T13:26:27.934Z,2020-10-18T13:26:27.934Z,9408,10521,0.033,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,2020-10-18T13:26:27.943Z,2020-10-18T13:26:27.943Z,1924,5452,0.011,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,2020-10-18T13:26:27.953Z,2020-10-18T13:26:27.953Z,9384,1924,0.018,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,2020-10-18T13:26:27.976Z,2020-10-18T13:26:27.976Z,5091,9385,0.012,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,2020-10-18T13:26:28.001Z,2020-10-18T13:26:28.001Z,9385,151,0.075,20,,4,Thích Quảng Đức,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,2020-10-18T13:26:28.013Z,2020-10-18T13:26:28.013Z,762,4534,0.049,21,,4,Tân Thuận,unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,2020-10-18T13:26:28.506Z,2020-10-18T13:26:28.506Z,253,9145,0.012,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,2020-10-18T13:26:28.547Z,2020-10-18T13:26:28.547Z,166,9146,0.016,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,2020-10-18T13:26:28.608Z,2020-10-18T13:26:28.608Z,5052,1058,0.018,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,2020-10-18T13:26:28.615Z,2020-10-18T13:26:28.615Z,9147,646,0.023,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70,2020-10-18T13:26:28.648Z,2020-10-18T13:26:28.648Z,9148,9143,0.026,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71,2020-10-18T13:26:28.688Z,2020-10-18T13:26:28.688Z,9144,9154,0.006,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,2020-10-18T13:26:28.786Z,2020-10-18T13:26:28.786Z,9317,1196,0.029,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73,2020-10-18T13:26:28.849Z,2020-10-18T13:26:28.849Z,9318,349,0.011,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,2020-10-18T13:26:28.874Z,2020-10-18T13:26:28.874Z,9315,9316,0.067,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,2020-10-18T13:26:28.904Z,2020-10-18T13:26:28.904Z,442,9313,0.015,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,2020-10-18T13:26:28.973Z,2020-10-18T13:26:28.973Z,9312,441,0.039,22,,4,Tam Bình,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,2020-10-18T13:26:29.040Z,2020-10-18T13:26:29.040Z,726,7000,0.072,23,,3,Vĩnh Lộc,secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-10-18T13:26:30.576Z,2020-10-18T13:26:30.576Z,3933,888,0.013,24,,4,Tôn Thất Hiệp,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,2020-10-18T13:26:30.579Z,2020-10-18T13:26:30.579Z,3933,7097,0.038,24,,4,Tôn Thất Hiệp,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,2020-10-18T13:26:30.593Z,2020-10-18T13:26:30.593Z,7097,3933,0.038,24,,4,Tôn Thất Hiệp,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
