_id,long,lat,in_segments
5782013206,106.6878198,10.817331,no
5717004659,106.6441369,10.8403108,no
5097087779,106.7792843,10.8282641,no
5755046104,106.5801059,10.8554856,no
5735403388,106.7392038,10.7693832,no
2609809758,106.7403722,10.6990361,no
4776428639,106.8051771,10.8804318,no
4995162593,106.606113,10.7207015,no
367690313,106.8513105,10.7959833,no
5813634517,106.5454262,10.7405263,no
2030638977,106.7143216,10.798998,no
2153453589,106.7250329,10.749313,no
5811873094,106.7340741,10.6971856,no
5632880612,106.7226375,10.82366,no
367567914,106.6088862,10.7323462,no
5627332330,106.759496,10.8503958,no
2157804238,106.7201466,10.7251135,no
5799069504,106.6809204,10.8258654,no
5013282330,106.5957023,10.7566398,no
5778252697,106.7814606,10.8614454,no
5769401822,106.6381663,10.8598702,no
4932465840,106.6512609,10.830124,no
5632913035,106.7341707,10.8389355,no
1832031177,106.7736411,10.7619307,no
5635895381,106.7271177,10.8402979,no
5733078541,106.5691745,10.8053431,no
5740290761,106.5763012,10.8309324,no
367497600,106.7937191,10.8053794,no
4903050771,106.6852693,10.8263347,no
5748087270,106.7171128,10.882434,no
5738535001,106.609232,10.8228248,no
2934003263,106.7135943,10.7266893,no
5633092606,106.7247527,10.8259502,no
5733272794,106.6564546,10.7245174,no
5727024378,106.6493637,10.8059267,no
5764916486,106.6509443,10.7410006,no
1852879390,106.7222206,10.8165,no
367255598,106.6991838,10.6872956,no
5633422648,106.7355699,10.8438012,no
367181459,106.7051301,10.6884603,no
5733464564,106.5798578,10.8090658,no
5633610725,106.7106998,10.8267472,no
3247243227,106.6141503,10.7090436,no
5635348876,106.7134127,10.8289548,no
5872313201,106.6557298,10.8161029,no
5633624982,106.7243021,10.8386043,no
5633615147,106.7113117,10.829177,no
367518151,106.6810212,10.8597805,no
5635976107,106.728426,10.8387987,no
5762919243,106.6769323,10.7440864,no
5633801827,106.7210988,10.8296778,no
3117081327,106.7703357,10.8532494,no
4783113450,106.7403702,10.8651659,no
5627311792,106.7635145,10.846648,no
5777195897,106.7080661,10.8052456,no
5136876388,106.8057077,10.8671679,no
5633641073,106.717088,10.8299654,no
5753182486,106.6781889,10.8827563,no
5772141083,106.6355214,10.7778684,no
5633213710,106.7286493,10.8318044,no
5737980736,106.7021424,10.8162741,no
4259838989,106.69357,10.768765,no
1595803076,106.865002,10.8551429,no
5633288458,106.7153241,10.8256928,no
367518008,106.6804914,10.8521064,no
5735616896,106.6173282,10.8178284,no
5769770146,106.8026316,10.8562168,no
5168393261,106.8161476,10.7171561,no
5772171765,106.6216291,10.7659156,no
3463111562,106.6706029,10.7910918,no
367493959,106.8184912,10.8008567,no
5750623786,106.5905571,10.7135431,no
5296616475,106.7125726,10.7913451,no
5842295408,106.6957853,10.7823847,no
4656012152,106.6537372,10.7719554,no
3656167737,106.7315789,10.8885284,no
5636110797,106.7155302,10.8301015,no
5632880162,106.7332441,10.8319887,no
5349532352,106.6670669,10.7968005,no
5229495085,106.8060259,10.8596964,no
5750742179,106.6598552,10.8373908,no
5742824782,106.7455747,10.8297985,no
2030639084,106.7153737,10.7995942,no
5763223032,106.6604421,10.7399571,no
5038427116,106.5645828,10.7690876,no
2949574946,106.7812274,10.8875033,no
3091107559,106.7335121,10.808226,no
5778363389,106.7208198,10.8034263,no
5771994160,106.6116446,10.7658325,no
5865931109,106.7037693,10.7672838,no
5632880410,106.7229486,10.8244514,no
5063701437,106.6706895,10.7812275,no
5752788337,106.6296771,10.8828972,no
2413295742,106.6884824,10.7196378,no
5794886218,106.7021944,10.7202286,no
367251401,106.6663149,10.6783745,no
2947040992,106.7669335,10.8588465,no
5011071495,106.5992201,10.7730092,no
367710857,106.828355,10.8045345,no
5726999600,106.6315788,10.8108798,no
2042473290,106.673821,10.7464453,no
5627059616,106.7642978,10.8493881,no
411920880,106.6807456,10.7661816,no
5748432076,106.5939474,10.7954925,no
5011101309,106.7885118,10.8428464,no
5232424072,106.7688516,10.8384085,no
5633430085,106.7130563,10.8261334,no
5633801915,106.7207409,10.8300396,no
5633610778,106.7107846,10.8275577,no
3091107265,106.7371363,10.8072616,no
5811239822,106.5766552,10.7561,no
5627709864,106.7186038,10.8273633,no
3865003958,106.6416751,10.8636173,no
367493636,106.8152269,10.8013035,no
5633577496,106.7157216,10.8357192,no
2953642993,106.7480776,10.8658024,no
3726297039,106.7514235,10.8425757,no
5627551818,106.7306643,10.8314961,no
5109094202,106.7747514,10.8202192,no
3016580654,106.7015121,10.766288,no
1833101939,106.7521843,10.7779476,no
5757507474,106.6127202,10.737024,no
5717115962,106.6370921,10.8363592,no
4970196003,106.7873588,10.8453134,no
5752936024,106.6179056,10.8420351,no
5751205688,106.583252,10.7864101,no
4631486920,106.6329116,10.8378799,no
5635263097,106.7191653,10.8291456,no
5627047710,106.7671927,10.8390936,no
5738575623,106.7997876,10.82606,no
5635240537,106.7291947,10.8503521,no
5755237904,106.8123302,10.8458271,no
5627571208,106.7113022,10.8327774,no
5633707974,106.7220011,10.833987,no
5764983251,106.7229146,10.7922617,no
4276192385,106.6171231,10.7275969,no
5755396540,106.5688929,10.6854043,no
5632909928,106.7232897,10.8290451,no
5627331691,106.7592152,10.8500044,no
1997154129,106.6893595,10.7549488,no
5794760388,106.729551,10.7277684,no
1770193907,106.6979915,10.7819478,no
4850908433,106.5975428,10.7511876,no
4776444165,106.8057631,10.8805042,no
5627570647,106.7101194,10.8306326,no
2915480076,106.720011,10.728839,no
367248730,106.7217506,10.6855845,no
367322609,106.6618931,10.7449223,no
4633935363,106.6240878,10.7117142,no
3390590313,106.8264881,10.8607595,no
2621185228,106.61741,10.8035116,no
5627710970,106.7205816,10.8261827,no
3191480513,106.6154515,10.7226828,no
5892040635,106.7204833,10.7826104,no
2036596727,106.7058782,10.7742314,no
3628501754,106.6846957,10.74614,no
