level,max_velocity,name,type,id,lat,lon,tags.highway,tags.railway,tags.traffic_signals,tags.barrier,tags.junction,tags.name,tags.note,tags.addr:street,tags.addr:housenumber,tags.operator,tags.name:vi,tags.access,nodes,tags.addr:city,tags.addr:district,tags.name:en,tags.ref,tags.addr:subdistrict,tags.service,tags.oneway,tags.old_name,tags.surface,tags.name:zh,tags.maxspeed,tags.foot,tags.bicycle,tags.layer,tags.bridge_name,tags.bridge_name:en,tags.bridge,tags.motorcar,tags.motorcycle:oneway,tags.bicycle:oneway,tags.horse,tags.lanes,tags.motorroad,tags.construction,tags.int_ref,tags.alt_name,tags.amenity,tags.crossing,tags.oneway:bicycle,tags.oneway:motorcar,tags.oneway:motorcycle,tags.motorcycle,tags.cycleway,members,tags.hour_off,tags.hour_on,tags.type,tags.except,tags.restriction,tags.network,tags.public_transport,tags.bench,tags.shelter,tags.building,tags.bridge:name,tags.bridge:name:en,tags.int_name,tags.lit,tags.motor_vehicle,tags.tourism,tags.car,tags.hgv,tags.area,tags.tactile_paving,tags.crossing_ref,tags.source,tags.name:de,tags.bus,tags.ski,tags.snowmobile,tags.wheelchair,tags.entrance,tags.religion,tags.name:ru,tags.noexit,tags.cuisine,tags.diet:vegetarian,tags.diet:vegan,tags.sidewalk,tags.motorcar:backward,tags.old_name:vi,tags.old_name:fr,tags.shop,tags.leisure,tags.name:vi-hani,tags.old_name:zh,tags.addr:province,tags.old_name:en,tags.addr:housename,tags.addr:postcode,tags.highway_1,tags.name:es,tags.width,tags.supervised,tags.name:pt,tags.description,tags.source:maxspeed,tags.fee,tags.parking,tags.tunnel,tags.proposed,tags.button_operated,tags.traffic_signals:sound,tags.level,tags.bicycle:forward,tags.ele,tags.addr:street:name,tags.maxheight,tags.stop,tags.minspeed,tags.maxweight,tags.phone,tags.website,tags.name:ja,tags.name:th,tags.fixme,tags.lay,tags.addr:place,tags.information,tags.ferry,tags.covered,tags.motorcar:forward,tags.footway
1,60.0,Cầu Kỳ Hà 4,trunk,453,,,trunk,,,,,Cầu Kỳ Hà 4,,,,,,,"[1833100878, 1833100807]",,,,,,,yes,,,,60,,,1,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60.0,Võ Chí Công,trunk,454,,,trunk,,,,,Võ Chí Công,,,,,,,"[1833100695, 2657238747, 714480636, 714480403, 714480349, 714480551]",,,,,,,yes,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,trunk_link,455,,,trunk_link,,,,,,,,,,,,"[724232847, 4066408764, 4066408765, 1834116932, 1834116945, 1834116960, 4066408762, 1834116964, 1834116967, 4066408763, 1834116965, 1834116962, 1834116958, 4066408766, 1834116943, 1834116939, 1834116928, 1834116897, 1834116874, 4066306777, 1834116857]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40.0,,trunk_link,456,,,trunk_link,,,,,,,,,,,,"[1834116961, 1834117015, 1834117019, 3058532720, 1834117026, 3058532719, 1834117030, 1834117034, 3058532711, 1834117053, 3058532710, 1834117082, 3058532712, 1834117086, 3058532713, 3058532715, 3058532714, 1834117088, 3058532717, 1834117084, 3058532716, 1834117042, 1834117032, 1834117024, 1834117016]",,,,,,,yes,,,,40,,,1,,,yes,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,50.0,,trunk_link,457,,,trunk_link,,,,,,,,,,,,"[1834116890, 1834116895, 1834116901, 1834116903, 1834116899, 4066306780, 1834116893, 1834116877, 1834116873, 1834116869, 1834116859, 4066306779, 1834116824, 1834116812, 1834116790]",,,,,,,yes,,,,50,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Hoàng Sa,tertiary,458,,,tertiary,,,,,Hoàng Sa,,,,,,,"[411919667, 411920053, 411920056, 2231316327, 864423476, 2231315768, 864423474, 2231004333, 411920058, 5764862092, 411920061, 907704589, 2231006702, 2332680419, 411920064, 411920066, 411920068, 411920070, 2403086545, 2403086543, 411920073, 411920072, 411920075, 411920074, 411920077, 411920076, 3717158269, 411920079, 1998235308, 1998235335, 3415437790, 411920082, 4673744030, 4673744032, 411920094, 411920091, 411925422, 4122304310, 4122304294, 4673707528, 411918895, 411918892, 411918885, 411918889, 411918880, 411923564, 411923566, 411923570, 3543604656, 4673706004]",Ho Chi Minh,1,Hoang Sa Road,,,,yes,,,黃沙路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Lê Văn Sỹ,secondary,459,,,secondary,,,,,Lê Văn Sỹ,,,,,,,"[1894612406, 366410861, 3178456812, 366392053, 2081753876, 2288700625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60.0,Quốc lộ 1,trunk,460,,,trunk,,,,,Quốc lộ 1,,,,,,,"[1958801649, 5772687770, 5772687782, 1958801642, 1958801639, 4068017989, 5772493577, 3164004056, 1958801635, 366379003, 5441070686, 366427351, 2955347886, 5767087126, 5767087130, 1958801623, 5767087128, 5767087134, 5772493233, 366435765, 5772493227, 2954721023, 2954721034, 5767087188, 1958801618, 4068017996, 2954673318, 1958801617, 5765430236, 5765346886, 1958801615, 1958801613, 1958801611, 366447118, 1958801610, 5772276231, 4068017997, 1958801608, 1958801602, 1958801598, 1958801595, 3117088458, 1958801592, 366415087, 5455886424, 1958801590, 1958801589]",Ho Chi Minh,Thu Duc,,QL.1,,,yes,,,,60,,,,,,,,,,,,,,AH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60.0,Quốc lộ 1A,trunk,461,,,trunk,,,,,Quốc lộ 1A,,,,,,,"[1958801859, 1958801801, 1958801785, 5772493213, 1958801731, 1958801712, 4938463437, 4938463436, 2241049887, 4938463449, 2241049900]",,,Xuyen a,1A,,,yes,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60.0,Quốc lộ 1,trunk,462,,,trunk,,,,,Quốc lộ 1,,,,,,,"[366460693, 1503295169, 5758138434, 3164004057, 366443014, 5772493212, 366428168, 366413824, 366413770, 366412891]",Ho Chi Minh,Thu Duc,,1,,,yes,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
