segment_id,s_node_id,e_node_id,length,max_velocity,street_level,street_name,segment_type,long_snode,lat_snode,long_enode,lat_enode,street_type,src,dst,edge_index
21696,411918646,5737980912,0.004,40.0,4,Nguyễn Ðình Chiểu,tertiary,106.7027113,10.7917682,106.7026825,10.7917368,tertiary,1403,8385,2328
21697,5737980912,411918645,0.074,40.0,4,Nguyễn Ðình Chiểu,tertiary,106.7026825,10.7917368,106.7022238,10.7912371,tertiary,8385,1402,2329
21698,411918645,2043347050,0.097,40.0,4,Nguyễn Ðình Chiểu,tertiary,106.7022238,10.7912371,106.7016019,10.7906058,tertiary,1402,2907,2330
21699,2043347050,411925984,0.015,40.0,4,Nguyễn Ðình Chiểu,tertiary,106.7016019,10.7906058,106.7015127,10.7904945,tertiary,2907,1682,2331
21700,366451514,542659652,0.338,40.0,3,Hương lộ 8,secondary,106.5406723,10.6817688,106.5436563,10.6825854,secondary,970,1806,2332
21702,542659652,4986046124,0.094,40.0,3,Hương lộ 8,secondary,106.5436563,10.6825854,106.5444885,10.6828162,secondary,1806,7369,2333
21704,4986046124,2871790711,0.637,40.0,3,Hương lộ 8,secondary,106.5444885,10.6828162,106.5501049,10.684374,secondary,7369,4284,2334
21706,2871790711,5767087933,0.038,40.0,3,Hương lộ 8,secondary,106.5501049,10.684374,106.550446,10.6844568,secondary,4284,9626,2335
21710,2276924415,366462470,0.019,40.0,3,Nguyễn Hữu Trí,secondary,106.5964858,10.6967335,106.5963084,10.6967183,secondary,3427,1094,2336
21711,366462470,5767087934,0.05,40.0,3,Nguyễn Hữu Trí,secondary,106.5963084,10.6967183,106.5958538,10.6966625,secondary,1094,9627,2337
21712,5767087934,2941361720,0.057,40.0,3,Nguyễn Hữu Trí,secondary,106.5958538,10.6966625,106.5953356,10.6966028,secondary,9627,4380,2338
21714,5767087935,366375817,0.051,40.0,3,Nguyễn Hữu Trí,secondary,106.5948781,10.6965294,106.5944057,10.6964761,secondary,9628,101,2339
21715,366375817,2941361709,0.044,40.0,3,Nguyễn Hữu Trí,secondary,106.5944057,10.6964761,106.5939998,10.696423,secondary,101,4379,2340
21718,5767087936,542685599,0.056,40.0,3,Nguyễn Hữu Trí,secondary,106.5926586,10.6962553,106.5921504,10.6961839,secondary,9629,1807,2341
21723,5755169720,5755169736,0.062,40.0,3,Nguyễn Hữu Trí,secondary,106.5913029,10.6960726,106.5907316,10.6960116,secondary,9000,9001,2342
21725,366387294,366425020,0.029,40.0,3,Nguyễn Hữu Trí,secondary,106.581274,10.6931944,106.5810062,10.6931352,secondary,229,623,2343
21726,378247304,373543511,0.246,80.0,1,Cầu An Lập,trunk,106.602171,10.729901,106.60178,10.7277176,trunk,1303,1293,2344
21729,366437284,4066528697,0.013,40.0,3,Trần Đại Nghĩa,trunk_link,106.600709,10.7225315,106.6006104,10.7224619,trunk_link,768,5821,2345
21730,4066528697,5817112629,0.027,40.0,3,Trần Đại Nghĩa,trunk_link,106.6006104,10.7224619,106.6003819,10.7223515,trunk_link,5821,11115,2346
21743,4068031150,1958801280,0.044,40.0,1,Quốc lộ 1,trunk,106.7978686,10.8595033,106.7981672,10.8592311,trunk,6045,2483,2347
21744,1958801280,4068031142,0.007,40.0,1,Quốc lộ 1,trunk,106.7981672,10.8592311,106.7982379,10.8592315,trunk,2483,6041,2348
21751,1958801290,1958801297,0.065,40.0,1,Quốc lộ 1,trunk,106.7979945,10.8596177,106.7975535,10.8600202,trunk,2485,2488,2349
21752,1958801297,1958801306,0.043,40.0,1,Quốc lộ 1,trunk,106.7975535,10.8600202,106.7972652,10.8602853,trunk,2488,2493,2350
21754,4068031149,1958801313,0.024,40.0,1,Quốc lộ 1,trunk,106.7970956,10.8604584,106.7969401,10.8606136,trunk,6044,2496,2351
21755,1958801313,1958801320,0.027,40.0,1,Quốc lộ 1,trunk,106.7969401,10.8606136,106.7967757,10.860797,trunk,2496,2500,2352
21756,1958801320,1958801362,0.03,40.0,1,Quốc lộ 1,trunk,106.7967757,10.860797,106.7965998,10.8610122,trunk,2500,2505,2353
21758,1958801378,4068031148,0.041,40.0,1,Quốc lộ 1,trunk,106.7963794,10.8613494,106.7961718,10.8616661,trunk,2506,6043,2354
21759,4068031148,1958801410,0.025,40.0,1,Quốc lộ 1,trunk,106.7961718,10.8616661,106.7960558,10.8618651,trunk,6043,2508,2355
21760,1503295208,4068085503,0.034,60.0,1,Quốc lộ 1,trunk,106.7531005,10.8759274,106.7534087,10.8759779,trunk,2260,6056,2356
21790,676030031,4068051906,0.041,40.0,1,Quốc lộ 1,trunk,106.7948042,10.8638409,106.794596,10.8641572,trunk,1819,6049,2357
21792,1958801505,1958801532,0.028,40.0,1,Quốc lộ 1,trunk,106.7943186,10.8645433,106.7941606,10.8647434,trunk,2513,2514,2358
21796,1958801560,4068051907,0.034,40.0,1,Quốc lộ 1,trunk,106.7935727,10.8653874,106.7933392,10.865603,trunk,2516,6050,2359
21798,676029957,676029958,0.138,40.0,1,Cầu vượt Thủ Đức,trunk,106.7959178,10.8620872,106.7952438,10.8631382,trunk,1817,1818,2360
21799,2028465889,4066314180,0.055,80.0,1,Cầu Rạch Chiếc 1,trunk,106.7563406,10.8099607,106.7564854,10.81044,trunk,2801,5716,2361
21801,676038270,676037188,0.07,80.0,1,Cầu Rạch Chiếc 1,trunk,106.7565881,10.8109033,106.7567002,10.8115249,trunk,1840,1837,2362
21802,676037188,676036916,0.123,80.0,1,Cầu Rạch Chiếc 1,trunk,106.7567002,10.8115249,106.7568917,10.8126189,trunk,1837,1835,2363
21803,676036916,676036918,0.153,80.0,1,Cầu Rạch Chiếc 1,trunk,106.7568917,10.8126189,106.7571509,10.8139767,trunk,1835,1836,2364
21804,676036918,1854295624,0.118,80.0,1,Cầu Rạch Chiếc 1,trunk,106.7571509,10.8139767,106.7573704,10.8150179,trunk,1836,2465,2365
21805,1854295624,2028465978,0.1,80.0,1,Cầu Rạch Chiếc 1,trunk,106.7573704,10.8150179,106.757537,10.8159074,trunk,2465,2813,2366
21806,2361894737,5418455041,0.014,60.0,1,Xa Lộ Hà Nội,trunk,106.7322216,10.7996096,106.7323533,10.7996414,trunk,3769,7817,2367
21807,5418455041,3289593762,0.034,60.0,1,Xa Lộ Hà Nội,trunk,106.7323533,10.7996414,106.7326607,10.7997155,trunk,7817,5122,2368
21808,3289593762,2024972806,0.071,60.0,1,Xa Lộ Hà Nội,trunk,106.7326607,10.7997155,106.7332868,10.7998892,trunk,5122,2741,2369
21809,2024972806,2024972999,0.02,60.0,1,Xa Lộ Hà Nội,trunk,106.7332868,10.7998892,106.7334693,10.799934,trunk,2741,2748,2370
21812,1497276531,4066386147,0.02,40.0,2,Xô Viết Nghệ Tĩnh,primary,106.7114473,10.8016858,106.7114137,10.80187,primary,2206,5786,2371
21814,729523390,5733448384,0.033,40.0,2,Xô Viết Nghệ Tĩnh,primary,106.7114279,10.802169,106.7114321,10.8024689,primary,2009,8257,2372
21820,2030638631,2030638626,0.004,40.0,1,Điện Biên Phủ,trunk,106.7017656,10.7945751,106.7017934,10.7946084,trunk,2827,2826,2373
21822,4673707531,1998235240,0.004,40.0,1,Điện Biên Phủ,trunk,106.6998822,10.7926119,106.6999111,10.792642,trunk,6946,2705,2374
21825,4066381581,676561491,0.007,40.0,1,Vòng xoay Điện Biên Phủ,trunk,106.6992858,10.7921176,106.6993535,10.7921084,trunk,5783,1864,2375
21826,676561491,2233152866,0.01,40.0,1,Vòng xoay Điện Biên Phủ,trunk,106.6993535,10.7921084,106.6994492,10.7921176,trunk,1864,3280,2376
21827,2233152866,4066381580,0.01,40.0,1,Vòng xoay Điện Biên Phủ,trunk,106.6994492,10.7921176,106.6995392,10.7921461,trunk,3280,5782,2377
21828,4066381580,676561493,0.01,40.0,1,Vòng xoay Điện Biên Phủ,trunk,106.6995392,10.7921461,106.6996218,10.7921994,trunk,5782,1865,2378
21829,676561493,676561494,0.009,40.0,1,Vòng xoay Điện Biên Phủ,trunk,106.6996218,10.7921994,106.6996779,10.7922686,trunk,1865,1866,2379
21870,678485755,4066503710,0.014,40.0,3,Võ Văn Kiệt,trunk_link,106.59955,10.7169989,106.5995766,10.7168737,trunk_link,1870,5813,2380
21874,2030639151,4068007610,0.01,40.0,2,Đinh Bộ Lĩnh,primary,106.7127697,10.8180917,106.7127543,10.8179996,primary,2833,6020,2381
21875,4068007610,4068007611,0.012,40.0,2,Đinh Bộ Lĩnh,primary,106.7127543,10.8179996,106.7127161,10.8178896,primary,6020,6021,2382
21882,2984720934,5779433387,0.003,40.0,2,Đinh Bộ Lĩnh,primary,106.7116581,10.8169172,106.7116333,10.8169001,primary,4531,10530,2383
21885,5737799820,739149943,0.015,40.0,2,Đinh Bộ Lĩnh,primary,106.711287,10.8166219,106.7112053,10.816504,primary,8355,2040,2384
21890,3066409690,5737826555,0.038,40.0,2,Đinh Bộ Lĩnh,primary,106.7106691,10.8156308,106.7105161,10.815319,primary,4564,8365,2385
21891,5737826555,3066409687,0.032,40.0,2,Đinh Bộ Lĩnh,primary,106.7105161,10.815319,106.7103879,10.8150578,primary,8365,4563,2386
21896,3066419464,696860153,0.059,40.0,2,Đinh Bộ Lĩnh,primary,106.7097644,10.8138039,106.7095349,10.8133163,primary,4565,1880,2387
21900,696860150,696860148,0.034,40.0,2,Đinh Bộ Lĩnh,primary,106.709282,10.8126388,106.7091995,10.8123416,primary,1879,1878,2388
21901,696860148,366479091,0.031,40.0,2,Đinh Bộ Lĩnh,primary,106.7091995,10.8123416,106.7091507,10.8120623,primary,1878,1274,2389
21902,366479091,696860137,0.025,40.0,2,Đinh Bộ Lĩnh,primary,106.7091507,10.8120623,106.7091403,10.8118342,primary,1274,1877,2390
21904,366446489,366402259,0.061,40.0,2,Đinh Bộ Lĩnh,primary,106.7091408,10.8115667,106.7091645,10.8110139,primary,899,359,2391
21905,366402259,3162356473,0.013,40.0,2,Đinh Bộ Lĩnh,primary,106.7091645,10.8110139,106.7091695,10.8108909,primary,359,4810,2392
21908,366431552,5733035611,0.07,40.0,2,Đinh Bộ Lĩnh,primary,106.7091841,10.8101809,106.7092201,10.8095516,primary,699,8232,2393
21909,5733035611,366440405,0.037,40.0,2,Đinh Bộ Lĩnh,primary,106.7092201,10.8095516,106.7092345,10.8092144,primary,8232,814,2394
21910,366440405,1276696958,0.043,40.0,2,Đinh Bộ Lĩnh,primary,106.7092345,10.8092144,106.7092607,10.8088223,primary,814,2127,2395
21911,1276696958,3162356474,0.028,40.0,2,Đinh Bộ Lĩnh,primary,106.7092607,10.8088223,106.7092773,10.8085678,primary,2127,4811,2396
21912,3162356474,366391891,0.024,40.0,2,Đinh Bộ Lĩnh,primary,106.7092773,10.8085678,106.7092839,10.8083475,primary,4811,282,2397
21913,366391891,2418495065,0.05,40.0,2,Đinh Bộ Lĩnh,primary,106.7092839,10.8083475,106.7093237,10.8078911,primary,282,3888,2398
21916,5733035601,5779433120,0.005,40.0,2,Đinh Bộ Lĩnh,primary,106.7093705,10.8073528,106.7093751,10.8072998,primary,8231,10529,2399
21919,760844031,373544230,0.047,40.0,2,Đinh Bộ Lĩnh,primary,106.7094158,10.8068331,106.7094493,10.8064112,primary,2059,1295,2400
21920,696860166,4068007614,0.196,40.0,2,Cầu Bình Triệu 2,primary,106.7135696,10.8235017,106.7132895,10.821758,primary,1882,6023,2401
21921,4068007614,4068007613,0.193,40.0,2,Cầu Bình Triệu 2,primary,106.7132895,10.821758,106.7130375,10.8200327,primary,6023,6022,2402
21922,4068007613,696860161,0.113,40.0,2,Cầu Bình Triệu 2,primary,106.7130375,10.8200327,106.7129039,10.8190196,primary,6022,1881,2403
21925,4067978569,2496913636,0.075,40.0,2,Quốc lộ 13,primary,106.7139208,10.8251483,106.713775,10.8244866,primary,5849,4089,2404
21928,701670572,701670584,0.004,40.0,2,Vòng xoay Ngã Sáu Gò Vấp,primary,106.6800231,10.8263771,106.6800491,10.8264059,primary,1899,1901,2405
