node_id,longitude,latitude,node_index
366386708,106.7236416,10.7256271,225
366386865,106.6784426,10.8305969,226
366386881,106.7270467,10.8331745,227
366387291,106.6760669,10.7994503,228
366387294,106.581274,10.6931944,229
366387500,106.5386627,10.7446677,230
366387635,106.6282232,10.7714937,231
366387641,106.6329161,10.8492006,232
366387686,106.6983168,10.8035641,233
366387693,106.6527217,10.8580367,234
366387719,106.7653756,10.7833422,235
366387780,106.6977368,10.7944901,236
366387792,106.7929898,10.8611665,237
366387952,106.6689253,10.7462509,238
366387958,106.6143297,10.8828335,239
366388058,106.7179483,10.8278461,240
366388112,106.6753185,10.8428373,241
366388157,106.8286983,10.8428497,242
366388170,106.6535516,10.7966177,243
366388361,106.7050119,10.7517869,244
366388389,106.6674459,10.7917202,245
366388408,106.6750895,10.7976292,246
366388492,106.6723869,10.7784822,247
366388518,106.6616599,10.7781615,248
366388548,106.5856072,10.8860826,249
366388615,106.6837486,10.8868771,250
366388635,106.6643618,10.8124942,251
366388636,106.6008754,10.7226708,252
366388641,106.7287514,10.845997,253
366388690,106.694378,10.8198777,254
366388735,106.6539899,10.7653719,255
366388771,106.6527981,10.8619433,256
366388860,106.6531101,10.7605441,257
366389479,106.6155055,10.8826862,258
366389514,106.6899309,10.8199379,259
366389754,106.6059796,10.7763227,260
366389762,106.7074486,10.7927205,261
366389800,106.6615638,10.8007892,262
366389883,106.7699637,10.8633418,263
366390033,106.7008614,10.7938821,264
366390037,106.6235422,10.8555254,265
366390127,106.7647651,10.7776559,266
366390133,106.6301535,10.8202068,267
366390159,106.6627717,10.7507204,268
366390222,106.6753077,10.7673656,269
366390286,106.6317028,10.7792796,270
366390294,106.6696543,10.8306051,271
366390355,106.6398819,10.7770894,272
366390651,106.8000883,10.8653917,273
366390663,106.7753601,10.8136383,274
366390736,106.6795101,10.8816357,275
366390755,106.6738588,10.7669024,276
366390897,106.6585755,10.7980828,277
366391400,106.6186544,10.8582194,278
366391534,106.6202143,10.8795726,279
366391548,106.5535801,10.6853419,280
366391744,106.7612978,10.8672695,281
366391891,106.7092839,10.8083475,282
366392053,106.6614388,10.7993793,283
366392112,106.6587965,10.7597225,284
366392502,106.7192459,10.7989146,285
366392616,106.6236125,10.8776763,286
366392714,106.6683762,10.7618452,287
366392930,106.6474328,10.7796551,288
366393184,106.7313905,10.8367207,289
366393302,106.7559654,10.8663883,290
366393363,106.6047216,10.859047,291
366393447,106.6846929,10.8879317,292
366396940,106.732835,10.8000298,293
366397143,106.7695262,10.841978,294
366397186,106.640323,10.7676354,295
366397273,106.7086074,10.7273833,296
366397299,106.6615304,10.835691,297
366397324,106.6331803,10.7563749,298
366397332,106.6495482,10.7511143,299
366397490,106.6031297,10.8873807,300
366397653,106.743452,10.8412018,301
366397786,106.6612115,10.7592628,302
366397818,106.6922972,10.8582822,303
366397859,106.655717,10.7988858,304
366397928,106.6765038,10.8025536,305
366397954,106.7140673,10.8248582,306
366398073,106.5574423,10.6864079,307
366398123,106.5902562,10.8868907,308
366398236,106.779752,10.8621761,309
366398253,106.6403983,10.8073545,310
366398293,106.6429507,10.842354,311
366398314,106.6795027,10.8668953,312
366398319,106.6283029,10.8241977,313
