id,name,type,tags.surface_concrete,tags.surface_dirt,tags.surface_paved,tags.surface_unpaved,tags.bridge_yes,tags.oneway_no,tags.oneway_yes,tags.lanes,tags.layer,max_velocity,tags.minspeed,level
63,Chợ Lớn,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,40.0,,4
64,Trương Công Định,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
65,Chu Văn An,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
66,Bình Lợi,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
67,Bình Thới,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
68,Trường Sơn,secondary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,3
69,Tây Thạnh,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
70,Trần Phú,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
71,Đường số 10,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
72,Hồ Văn Huê,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
73,Đường Số 10,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
74,Tân Quý,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
75,Lê Đại Hành,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
76,Đào Trinh Nhất,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
77,Ung Văn Khiêm,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
78,Pham Ngũ Lão,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
79,Phan Thúc Duyện,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
80,Tô Hiệu,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
81,Xuân Hồng,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
82,Đặng Văn Ngữ,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
83,Đặng Văn Ngữ,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
84,Tên Lửa,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
85,Trần Quốc Hoàn,secondary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,3
86,Nguyễn Văn Luông,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
87,Phó Cơ Điều,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
88,Trần Văn Kiểu,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
89,Lữ Gia,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
90,Thế Lữ,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
91,Nguyễn Đình Chiểu,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
92,Trần Nhân Tôn,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
93,Nguyễn Tất Thành,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
94,Lý Thái Tổ,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
95,Đường số 13,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
96,Đinh Tiên Hoàng,primary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,2
97,Hoàng Sĩ Khải,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
