_id,long,lat,in_segments
366378629,106.5780007,10.8046309,yes
366378637,106.7343846,10.8547733,yes
366378659,106.684272,10.7538162,yes
366378660,106.7633215,10.8705977,yes
366378675,106.6880811,10.8228559,yes
366378682,106.800502,10.8469342,yes
366378712,106.706815,10.7283459,yes
366378719,106.6211608,10.7835574,yes
366378744,106.5808908,10.7111387,yes
366378766,106.5635117,10.8559635,yes
366378791,106.6577208,10.7472894,yes
366378798,106.6004888,10.6859132,yes
366378801,106.7551893,10.8664279,yes
366378803,106.7140258,10.8342669,yes
366378816,106.6817217,10.8853064,yes
366378818,106.6893101,10.8262926,yes
366378823,106.6410392,10.7904059,yes
366378871,106.6644394,10.8537931,yes
366378880,106.5627795,10.7917167,yes
366378916,106.6639375,10.7755762,yes
366378949,106.6736437,10.7977764,yes
366378952,106.5827918,10.8880664,yes
366378963,106.5765771,10.7944776,yes
366378980,106.6618671,10.8446033,yes
366378988,106.6906393,10.7961263,yes
366379000,106.7373132,10.803945,yes
366379002,106.6043246,10.8885181,yes
366379003,106.7711202,10.8712151,yes
366379020,106.6910083,10.8247327,yes
366379023,106.7847409,10.8443107,yes
366379034,106.5908476,10.7704465,yes
366379036,106.578458,10.8077478,yes
366379045,106.829398,10.8076946,yes
366379047,106.689009,10.8608639,yes
366379064,106.6043218,10.7890118,yes
366379073,106.6017581,10.8573247,yes
366379090,106.7096836,10.7714071,yes
366379093,106.6106023,10.8675365,yes
366379096,106.747025,10.8026421,yes
366379107,106.8246527,10.8723599,yes
366379119,106.7140571,10.837234,yes
366379151,106.7543781,10.782017,yes
366379155,106.7942994,10.8453582,yes
366379160,106.6045697,10.7552144,yes
366379182,106.6441569,10.8322434,yes
366379193,106.6851586,10.8889185,yes
366379207,106.7636039,10.8420158,yes
366379216,106.8304639,10.8762006,yes
366379234,106.6555163,10.7138373,yes
366379240,106.6268381,10.7165711,yes
366379253,106.5680235,10.8371841,yes
366379258,106.7629572,10.8274692,yes
366379261,106.6416061,10.8023484,yes
366379301,106.7678915,10.830858,yes
366379315,106.6411858,10.7907163,yes
366379323,106.7688637,10.7800344,yes
366379329,106.6344812,10.7771545,yes
366379345,106.8356803,10.8477717,yes
366379372,106.5589685,10.8192117,yes
366379376,106.6558169,10.7238419,yes
366379387,106.6515495,10.7434114,yes
366379426,106.723685,10.818692,yes
366379430,106.7676993,10.7773722,yes
366379451,106.6883415,10.8223533,yes
366379515,106.5514217,10.8363514,yes
366379524,106.7295945,10.8805487,yes
366379623,106.6678582,10.8593248,yes
366379655,106.6784654,10.8081981,yes
366379658,106.5864394,10.7744382,yes
366379679,106.7835083,10.8335516,yes
366379684,106.815741,10.8651528,yes
366379685,106.576571,10.8176644,yes
366379726,106.5756305,10.8356614,yes
366379764,106.7519202,10.6789796,yes
366379787,106.6335549,10.7550603,yes
366379789,106.729845,10.8799204,yes
366379802,106.6132731,10.6806093,yes
366379815,106.5978001,10.685557,yes
366379826,106.5622068,10.8644516,yes
366379833,106.8335614,10.8478775,yes
366379855,106.6085717,10.8835778,yes
366379871,106.8586567,10.8001538,yes
366379896,106.5815316,10.7141912,yes
366379914,106.6224873,10.7692453,yes
366379923,106.643205,10.6834063,yes
366379930,106.8453742,10.8482477,yes
366379945,106.8274825,10.8074079,yes
366379959,106.5891866,10.8865151,yes
366379963,106.5488774,10.6881817,yes
366379967,106.6028065,10.6851278,yes
366379977,106.6640311,10.7659517,yes
366379996,106.5981184,10.887776,yes
366380046,106.5971847,10.8417565,yes
366380052,106.7607926,10.8265715,yes
366380078,106.5824584,10.8658491,yes
366380080,106.5977547,10.7433496,yes
366380089,106.7530514,10.874864,yes
366380111,106.635417,10.7417456,yes
366380113,106.7339052,10.8002223,yes
366380126,106.7593304,10.8239454,yes
366380141,106.8357387,10.872487,yes
366380145,106.5558422,10.7917441,yes
366380150,106.8373116,10.8039587,yes
366380164,106.7099185,10.759602,yes
366380184,106.6400303,10.7455278,yes
366380193,106.8388769,10.8691977,yes
366380245,106.7432587,10.7174765,yes
366380247,106.7447934,10.8793332,yes
366380263,106.6266661,10.8794175,yes
366380289,106.6983789,10.8835624,yes
366380295,106.6618801,10.740173,yes
366380299,106.6066334,10.7585493,yes
366380390,106.6021717,10.8589605,yes
366380404,106.610447,10.7520447,yes
366380436,106.6978426,10.8144759,yes
366380463,106.6546646,10.7965047,yes
366380514,106.757741,10.8176345,yes
366380569,106.6884688,10.7956755,yes
366380580,106.5895903,10.8722046,yes
366380591,106.7392421,10.8293908,yes
366380601,106.5645474,10.690373,yes
366380708,106.7091793,10.7555081,yes
366380726,106.7612607,10.8642209,yes
366380729,106.6319312,10.8044193,yes
366380757,106.7725372,10.8623945,yes
366380758,106.703642,10.7674541,yes
366380782,106.6336884,10.7595334,yes
366380783,106.6884045,10.7415004,yes
366380808,106.731687,10.8675417,yes
366380821,106.7808995,10.795153,yes
366380822,106.6148365,10.7385684,yes
366380829,106.6146304,10.8881867,yes
366380857,106.6313877,10.7879934,yes
366380866,106.5681359,10.8182735,yes
366380878,106.6584254,10.7506713,yes
366380885,106.6191051,10.7534563,yes
366380898,106.6093004,10.8472548,yes
366380901,106.5558655,10.6898306,yes
366380913,106.5644107,10.7055967,yes
366380918,106.7064672,10.6764738,yes
366380932,106.8342073,10.887795,yes
366380944,106.7682155,10.8406353,yes
366380969,106.7305968,10.8438073,yes
366380992,106.6582395,10.7577421,yes
366380995,106.7683786,10.7883935,yes
366381001,106.7018859,10.7619639,yes
366381005,106.7369149,10.7143325,yes
366381024,106.5798538,10.6968593,yes
366381031,106.7141784,10.7265886,yes
366381041,106.6827816,10.7520654,yes
366381056,106.7197698,10.7011376,yes
366381059,106.5723018,10.7023114,yes
366381075,106.838056,10.8776358,yes
366381090,106.7497884,10.8033158,yes
366381136,106.7296872,10.7986072,yes
366381143,106.6340588,10.7316561,yes
366381189,106.6048609,10.7871188,yes
366381190,106.7375677,10.7051906,yes
366381195,106.6244421,10.8550444,yes
366381209,106.694599,10.7517068,yes
366381218,106.6550805,10.7651275,yes
366381220,106.6428437,10.729398,yes
366381246,106.6285498,10.7812306,yes
366381261,106.8485817,10.8413555,yes
