id,tags.oneway,segment_id
69,yes,681
69,yes,682
69,yes,683
69,yes,684
69,yes,685
70,yes,686
70,yes,687
70,yes,688
70,yes,689
71,no,690
72,yes,691
72,yes,692
72,yes,693
72,yes,694
72,yes,695
72,yes,696
72,yes,697
72,yes,698
72,yes,699
72,yes,700
72,yes,701
72,yes,702
72,yes,703
73,no,704
74,no,705
74,no,706
74,no,707
75,yes,708
75,yes,709
75,yes,710
75,yes,711
75,yes,712
75,yes,713
75,yes,714
75,yes,715
75,yes,716
75,yes,717
75,yes,718
75,yes,719
75,yes,720
75,yes,721
76,no,722
76,no,723
76,no,724
77,no,725
78,yes,726
78,yes,727
78,yes,728
78,yes,729
78,yes,730
78,yes,731
78,yes,732
78,yes,733
78,yes,734
78,yes,735
78,yes,736
78,yes,737
78,yes,738
78,yes,739
78,yes,740
78,yes,741
78,yes,742
78,yes,743
78,yes,744
79,no,745
80,no,746
80,no,747
81,yes,748
81,yes,749
82,no,750
82,no,751
82,no,752
82,no,753
82,no,754
83,no,755
83,no,756
83,no,757
83,no,758
84,yes,759
85,yes,760
86,yes,761
87,no,762
87,no,763
87,no,764
87,no,765
87,no,766
87,no,767
87,no,768
87,no,769
87,no,770
87,no,771
87,no,772
87,no,773
87,no,774
87,no,775
87,no,776
87,no,777
87,no,778
87,no,779
87,no,780
87,no,781
87,no,782
87,no,783
87,no,784
87,no,785
87,no,786
87,no,787
87,no,788
88,no,789
89,no,790
89,no,791
89,no,792
89,no,793
89,no,794
89,no,795
89,no,796
89,no,797
89,no,798
89,no,799
89,no,800
89,no,801
89,no,802
89,no,803
89,no,804
89,no,805
89,no,806
89,no,807
89,no,808
89,no,809
89,no,810
89,no,811
89,no,812
89,no,813
89,no,814
89,no,815
89,no,816
89,no,817
89,no,818
89,no,819
89,no,820
89,no,821
89,no,822
89,no,823
89,no,824
89,no,825
89,no,826
89,no,827
89,no,828
89,no,829
89,no,830
89,no,831
89,no,832
90,no,833
91,no,834
92,no,835
92,no,836
92,no,837
92,no,838
92,no,839
92,no,840
92,no,841
92,no,842
92,no,843
92,no,844
92,no,845
92,no,846
92,no,847
92,no,848
92,no,849
92,no,850
92,no,851
92,no,852
92,no,853
92,no,854
92,no,855
92,no,856
92,no,857
92,no,858
92,no,859
92,no,860
