type,id,tags.highway,tags.traffic_signals,tags.junction,tags.name,tags.note,tags.addr:street,tags.addr:housenumber,tags.name:vi,tags.access,nodes,tags.addr:city,tags.addr:district,tags.name:en,tags.ref,tags.addr:subdistrict,tags.service,tags.oneway,tags.old_name,tags.surface,tags.name:zh,tags.maxspeed,tags.foot,tags.bicycle,tags.layer,tags.bridge_name,tags.bridge_name:en,tags.bridge,tags.motorcar,tags.motorcycle:oneway,tags.bicycle:oneway,tags.horse,tags.lanes,tags.motorroad,tags.construction,tags.int_ref,tags.alt_name,tags.amenity,tags.crossing,tags.oneway:bicycle,tags.oneway:motorcar,tags.oneway:motorcycle,tags.motorcycle,tags.cycleway,tags.bridge:name,tags.bridge:name:en,tags.int_name,tags.lit,tags.motor_vehicle,tags.car,tags.hgv,tags.area,tags.source,tags.name:de,tags.bus,tags.ski,tags.snowmobile,tags.wheelchair,tags.religion,tags.sidewalk,tags.motorcar:backward,tags.old_name:vi,tags.old_name:fr,tags.name:vi-hani,tags.old_name:zh,tags.addr:province,tags.old_name:en,tags.addr:postcode,tags.width,tags.description,tags.source:maxspeed,tags.tunnel,tags.proposed,tags.level,tags.bicycle:forward,tags.ele,tags.addr:street:name,tags.maxheight,tags.stop,tags.minspeed,tags.maxweight,tags.name:ja,tags.name:th,tags.fixme,tags.lay,tags.information,tags.covered,tags.motorcar:forward,tags.footway
way,32581292,tertiary,,,Ngô Chí Quốc,,,,,,"[366404766, 366458360, 5757826378, 366466133, 5757826409, 366402732, 366462952, 366419584, 366459572, 366370659, 366425005, 366400104, 366411451, 4936959396, 4936959397, 5757826358, 366475092, 366459387, 366398456, 5757826399, 366415973, 366411683, 5757826401, 5757885338, 366368515, 5757757123, 366424098, 5757756783, 5757756785, 366464646, 5757763475, 5757756811, 5757757151, 5757756784, 5757756772, 5757757147, 5757756819, 5755432451, 366465275, 5757756812, 5755432453, 366465955, 4936959384, 5755432514, 366449798, 4936959385, 5755432519, 5755433522, 5755433558, 5748255066, 3656167777, 4936959426, 5755433523, 366424814, 5755432501, 3744096192, 366385861, 4936959445]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32581881,tertiary,,,Hẻm 1129 Lạc Long Quân,,,,,,"[366368670, 366418543, 366385187]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32582560,service,,,Hẻm 195 Bình Thới,,,,,,"[366368010, 366460517, 366467039, 366461400, 366378418, 4932651983, 4932651984, 4932651985, 4932651986, 4932651987, 4932651988]",,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32582602,tertiary,,,Vườn Lài,,,,,,"[366445476, 366373630, 5767567228, 5003306333, 5003306330, 366435614, 5003306327, 5003306328, 5003306325, 5003306323, 366405261, 5003306321, 3158936120, 2620587033, 366466351, 4616376150, 366402197, 366417329, 5767567205, 3771486808, 366421226, 5112594875, 5767567195, 5767567194, 3771486813, 5767567193, 3158936121, 4976736754, 366380857, 5767645844, 5767645843, 5767646459, 5767645842, 3158936122, 5767645841, 366371524, 366432863, 3830454294, 5769301526, 3158936123, 5769301527, 366471495, 5769301528, 5769301529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32583099,tertiary,,,Lê Văn Qưới,,,,,,"[366460919, 4952170647, 4952170646, 366413945, 4952170644, 4952170642, 366372609, 4952170640, 4952170657, 5021688531, 4952170687, 5762760934, 4952170685, 366389754, 4952170161, 5011011872, 5762760946, 4952170688, 5762760930, 4952170690, 4952170692, 5762760932, 4952170219, 4952170216, 366436199, 5006654177, 4952170672, 4952170668, 4952170675, 4952170679, 4952170622, 5755652479, 5755652477]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32583384,tertiary,,,Nguyễn Thái Bình,,,,,,"[366418858, 2409408737, 2491883775, 366471427, 366375122, 2078951003, 366445008, 2078950650, 2078950784, 5108956860, 366452900, 2078950680, 366377084, 366368733, 5765334906, 366436618, 366388170, 5721820862, 366402730, 366441125, 366437658, 366447529, 366445567, 2078950850, 2078950541, 2078950642, 366463359, 2078950525, 366453790, 366445868, 5762697889, 366461711, 2078950415, 366397859, 5998453340, 366412850]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32584146,tertiary,,,Minh Phụng,,,,,,"[5813728969, 5813728968, 5772562960, 5772562961, 4088944089, 5813728966, 4595643018, 5813728965, 4595643000, 5813728920, 4932516777, 4933675377, 6169690394, 4933675375, 366417158, 5802614979, 4594381214, 6169690395, 366444551, 366410064, 4932516743, 366370087, 4932516740, 366424990, 3172030508, 4927819085, 366450315, 4929132428, 366448740, 366374497, 4932651995, 366473899, 5788294516, 366438826, 366447739, 366371563, 5044255983, 5766180799, 5788268545, 3172030509, 366368010, 4929861374, 4929861365, 366446193, 5778381660]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32584156,tertiary,,,Nguyễn Văn Lạc,,,,,,"[366368125, 5671815958, 366397886, 873513376, 5757778742, 5775221751, 5757778741, 5775221750, 5757778740, 5757778739, 5757778738, 925249834, 2022548955, 5757778737]",,,Nguyen Van Lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32584390,primary,,,Quang Trung,,,,,,"[4672043489, 5742675400, 4672043388, 366422145, 2487522978, 4672043387, 2353065952, 3175110462, 2487522977, 366457013, 4433894786, 3640176428, 2210912782, 366436008, 5719227256, 2353065949, 5719227254, 2487522984, 5743078027, 366370127, 366368118, 4441523959, 3169694166, 366462367, 3640190319, 5743078025, 5724654565, 3640190320, 366390294, 5888387598, 4441523969, 366418456, 5719110616, 5748077477, 860316979, 366433769, 5886777965, 366399647, 5458416706, 5455593142, 366452490, 5886778495, 4905117722, 366434737, 5458418452, 3640190412, 366464926, 5458427023, 366459665, 5886778530, 4556716397, 4447332019, 366450167, 4441525400, 5458426813, 366369712, 5750742190, 3169694168, 2210912775, 2353073457, 5750742164, 2269044436, 366397299, 3283299615, 2353073474, 5750716467, 3283299616, 5891955534, 366405666, 2353073504, 5750699239, 2353078011, 2353078006]",Ho Chi Minh,Go Vap,Quang Trung,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32584870,unclassified,,,Nguyễn Hậu,,,,,,"[366371524, 3830454308, 3830454307, 3830454306, 3830454305, 366381305, 3771486791, 4415719598, 366450290, 5769301536, 3771486784, 366427470, 366457532, 366427428, 366447499, 3771486777, 2438305448, 2438307028, 5767074388]",,,,,,,,Gioan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32585195,residential,,,Công Chúa Ngọc Hân,,,,,,"[366372500, 2434647902, 4929127562, 366435196, 4927818800, 4929793657, 5518775901, 366370949, 4929793649, 2434647856, 2434647849, 366450048]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32585697,unclassified,,,Trần Văn Quang,,,,,,"[366370884, 3718634740, 3718634741, 3718634742, 3718634743, 366409955, 3771420353, 5772170144, 366424751, 5772170132, 3771420362, 366466560, 5772170130, 5772170131, 366399313, 3718634744, 366409007, 5092124984, 366392930, 366430927, 2495738891, 5772194292]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
