id,s_node_id,e_node_id
369,728,8948
370,279,1247
371,1247,8944
372,8944,1232
373,1232,712
374,712,8942
375,8942,206
376,206,8943
377,8943,1243
378,1243,8959
379,8959,8955
380,8955,8959
381,8955,286
382,286,9119
383,9119,286
384,9119,8952
385,8952,8953
386,8953,8952
387,9069,8954
388,8954,9070
389,9070,4311
390,4311,8956
391,8956,8968
392,8968,4308
393,661,8454
394,8454,661
395,798,8454
396,933,798
397,959,933
398,6130,959
399,906,6130
400,776,906
401,24,776
402,8309,24
403,8308,8309
404,8310,8308
405,1080,8310
406,8306,1080
407,502,8306
408,1254,502
409,8329,1254
410,919,8329
411,567,919
412,6129,567
413,6128,6129
414,383,6128
415,9335,3143
416,3989,6454
417,6454,3141
418,3141,6453
419,6452,482
420,482,6451
421,2029,6450
422,194,10969
423,183,588
424,4607,8665
425,9768,9769
426,9754,9767
427,9767,9753
428,9766,9765
429,9765,9755
430,9755,9765
431,9755,9764
432,9764,9763
433,9762,4589
434,4589,9761
435,9761,10238
436,9760,10238
437,9760,10236
438,10234,10235
439,10237,9759
440,9759,9758
441,9758,10166
442,10166,9758
443,864,4156
444,4156,2079
445,9343,8170
446,8170,2411
447,2411,8171
448,8171,8172
449,2277,3509
450,3509,2277
451,9192,10362
452,10362,9192
453,10362,10361
454,10361,10362
455,10361,10400
456,10400,10361
457,10400,10406
458,10406,10400
459,10406,7402
460,7402,10406
461,7402,6132
462,6132,7402
463,6132,4914
464,4914,6132
465,4914,7076
466,7076,4914
467,7076,7455
468,7455,7076
469,7455,427
470,427,7455
471,427,4913
472,4913,427
473,4913,7424
474,7424,4913
475,7424,7423
476,7423,7424
477,7423,10405
478,10405,7423
479,10405,6379
480,6379,10405
481,6379,10404
482,10404,6379
483,10404,10399
484,10399,10404
485,10154,10153
486,5053,1002
487,4467,9920
488,4468,9919
489,10042,3308
490,10042,7660
491,7660,10042
492,7660,2317
493,2317,7660
494,2317,2316
495,2316,2317
496,2316,1185
497,1185,2316
498,1185,7658
499,7658,1185
500,7658,9521
501,9521,7658
502,9521,9522
503,9522,9521
504,9522,9523
505,9523,9522
506,9523,18
507,18,9523
508,18,7659
509,7659,18
510,7659,9537
511,9537,7659
512,8656,4608
513,803,3964
514,8294,1019
515,189,8294
516,10489,6774
517,10489,10488
518,10488,10489
519,10488,10487
520,10487,10488
521,10487,10486
522,10486,10487
523,10486,10485
524,10485,10486
525,10485,10484
526,10484,10485
527,10484,10483
528,10483,10484
529,10483,10482
530,10482,10483
531,10482,10481
532,10481,10482
533,10481,10479
534,10479,10481
535,10479,10480
536,10480,10479
537,10480,10478
538,10478,10480
539,10478,10477
540,10477,10478
541,10477,10476
542,10476,10477
543,10476,10475
544,10475,10476
545,10475,10474
546,10474,10475
547,10474,10473
548,10473,10474
549,10473,10472
550,10472,10473
551,10472,10471
552,10471,10472
553,10471,10666
554,10666,10471
555,10666,10470
556,10470,10666
557,10470,10469
558,10469,10470
559,10469,10468
560,10468,10469
561,10468,985
562,985,10468
563,985,179
564,179,985
565,179,6645
566,6645,179
567,5177,5178
568,9270,485
569,9695,6135
570,5588,3071
571,410,5589
572,918,410
573,5590,918
574,4315,1264
575,1230,5591
576,8239,36
577,834,783
578,10398,9524
579,10398,10396
580,10396,10398
581,10396,10397
582,10397,10396
583,10397,1089
584,1089,10397
585,1089,585
586,585,1089
587,585,163
588,163,585
589,163,4911
590,4911,163
591,4911,9193
592,9193,4911
593,9193,7392
594,7392,9193
595,7392,9125
596,9125,7392
597,9125,7393
598,7393,9125
599,7393,6439
600,6439,7393
601,6439,11250
602,11250,6439
603,11250,11251
604,11251,11250
605,11251,11252
606,11252,11251
607,11252,6221
608,6221,11252
609,6221,1050
610,1050,6221
611,1050,7391
612,7391,1050
613,7391,10363
614,10363,7391
615,10363,10364
616,10364,10363
617,10364,10365
618,10365,10364
619,10365,10402
620,10402,10365
621,10402,10403
622,10403,10402
623,10403,9192
624,9192,10403
625,9192,7153
626,7153,9192
627,7153,10360
628,10360,7153
629,10360,7154
630,7154,10360
631,7154,10314
632,10314,7154
633,10314,973
634,973,10314
635,973,355
636,355,973
637,355,58
638,58,355
639,58,7155
640,7155,58
641,7155,10401
642,10401,7155
643,10401,7450
644,7450,10401
645,7450,7451
646,7451,7450
647,7451,10315
648,10315,7451
649,10315,602
650,602,10315
651,602,10325
652,10325,602
653,10325,10306
654,10306,10325
655,10306,5488
656,5488,10306
657,5488,7116
658,7116,5488
659,7116,7117
660,7117,7116
661,7117,5487
662,5487,7117
663,5487,10307
664,10307,5487
665,10307,1256
666,1256,10307
667,1256,10308
668,10308,1256
669,10308,10309
670,10309,10308
671,10309,5485
672,5485,10309
673,5485,5484
674,5484,5485
675,5484,5486
676,5486,5484
677,5486,10151
678,10151,5486
679,2057,7266
680,7266,2939
681,2919,4251
682,4251,4765
683,4765,6266
684,6266,7339
685,7340,8296
686,4718,2052
687,2052,6815
688,6815,2694
689,2694,488
690,3134,10586
691,5463,2179
692,2179,5460
693,5456,2178
694,5464,435
695,4875,305
696,305,2177
697,2177,5455
698,5455,1932
699,1932,35
700,35,5454
701,5454,5562
702,5562,4876
703,4876,3474
704,8437,266
705,7704,8181
706,7704,7703
707,7703,7704
708,10892,10893
709,10893,10894
710,10894,10895
711,10895,10896
712,10896,284
713,284,10897
714,10897,7348
715,7348,853
716,853,10664
717,10664,7991
718,7991,32
719,32,10652
720,10652,10653
721,10653,10650
722,9684,4573
723,5287,9923
724,323,5288
725,498,390
726,2137,2138
727,2138,1136
728,1136,10691
729,10691,10690
730,10690,8122
731,8122,4883
732,4883,374
733,374,8570
734,8121,10850
735,10850,10626
736,10626,10849
737,10849,7740
738,7740,10627
739,10627,10848
740,8562,10847
741,10847,2142
742,2142,7047
743,7047,7041
744,7041,7742
745,6897,2964
746,1276,6386
747,6386,1160
748,4659,1045
749,1045,3866
750,586,9500
751,44,7299
752,4260,1145
753,245,3610
754,3611,2258
755,2358,1054
756,4261,1054
757,745,1040
758,586,1040
759,1237,142
760,2943,2955
761,7365,589
762,10648,10649
763,10648,10647
764,10647,10648
765,10647,7356
766,7356,10647
767,7356,7357
768,7357,7356
769,7357,7358
770,7358,7357
771,7358,7359
772,7359,7358
773,7359,4946
774,4946,7359
775,4946,1070
776,1070,4946
777,1070,10370
778,10370,1070
779,10370,11256
780,11256,10370
781,11256,11297
782,11297,11256
783,11297,2054
784,2054,11297
785,2054,7107
786,7107,2054
787,7107,10909
788,10909,7107
789,174,6207
790,9558,9528
791,9558,4300
792,4300,9558
793,4300,4720
794,4720,4300
795,4720,6398
796,6398,4720
797,6398,4085
798,4085,6398
799,4085,4301
800,4301,4085
