_id,segment_id,date,weekday,period,LOS
226,2077,2020-08-03,0,period_0_00,E
227,2078,2020-08-02,6,period_23_30,D
228,2078,2020-08-03,0,period_0_00,E
229,2079,2020-08-02,6,period_23_30,D
230,2079,2020-08-03,0,period_0_00,C
231,2080,2020-08-02,6,period_23_30,C
232,2080,2020-08-03,0,period_0_00,D
233,2081,2020-08-02,6,period_23_30,C
234,2081,2020-08-03,0,period_0_00,C
235,2082,2020-08-02,6,period_23_30,C
236,2082,2020-08-03,0,period_0_00,E
237,2083,2020-08-02,6,period_23_30,C
238,2083,2020-08-03,0,period_0_00,D
239,2084,2020-08-02,6,period_23_30,C
240,2084,2020-08-03,0,period_0_00,E
241,2085,2020-08-02,6,period_23_30,D
242,2085,2020-08-03,0,period_0_00,C
243,2086,2020-08-02,6,period_23_30,A
244,2086,2020-08-03,0,period_0_00,D
245,2087,2020-08-02,6,period_23_30,A
246,2087,2020-08-03,0,period_0_00,E
247,2088,2020-08-02,6,period_23_30,E
248,2088,2020-08-03,0,period_0_00,D
249,2089,2020-08-02,6,period_23_30,E
250,2089,2020-08-03,0,period_0_00,E
251,2090,2020-08-02,6,period_23_30,C
252,2090,2020-08-03,0,period_0_00,C
253,2091,2020-08-02,6,period_23_30,E
254,2091,2020-08-03,0,period_0_00,D
255,2092,2020-08-02,6,period_23_30,E
256,2092,2020-08-03,0,period_0_00,C
257,2093,2020-08-02,6,period_23_30,C
258,2093,2020-08-03,0,period_0_00,D
259,2094,2020-08-02,6,period_23_30,E
260,2094,2020-08-03,0,period_0_00,D
261,2095,2020-08-02,6,period_23_30,C
262,2095,2020-08-03,0,period_0_00,D
263,2096,2020-08-02,6,period_23_30,E
264,2096,2020-08-03,0,period_0_00,D
265,2097,2020-08-02,6,period_23_30,C
266,2097,2020-08-03,0,period_0_00,D
267,2098,2020-08-02,6,period_23_30,C
268,2098,2020-08-03,0,period_0_00,C
269,2099,2020-08-02,6,period_23_30,E
270,2099,2020-08-03,0,period_0_00,D
271,2100,2020-08-02,6,period_23_30,D
272,2100,2020-08-03,0,period_0_00,E
273,2101,2020-08-02,6,period_23_30,C
274,2101,2020-08-03,0,period_0_00,D
275,2102,2020-08-02,6,period_23_30,D
276,2102,2020-08-03,0,period_0_00,E
277,2103,2020-08-02,6,period_23_30,C
278,2103,2020-08-03,0,period_0_00,D
279,2104,2020-08-02,6,period_23_30,D
280,2104,2020-08-03,0,period_0_00,D
281,2105,2020-08-02,6,period_23_30,C
282,2105,2020-08-03,0,period_0_00,D
283,2106,2020-08-02,6,period_23_30,E
284,2106,2020-08-03,0,period_0_00,D
285,2107,2020-08-02,6,period_23_30,D
286,2107,2020-08-03,0,period_0_00,E
287,2108,2020-08-02,6,period_23_30,B
288,2108,2020-08-03,0,period_0_00,C
289,2109,2020-08-02,6,period_23_30,E
290,2109,2020-08-03,0,period_0_00,E
291,2110,2020-08-02,6,period_23_30,E
292,2110,2020-08-03,0,period_0_00,C
293,2111,2020-08-02,6,period_23_30,C
294,2111,2020-08-03,0,period_0_00,D
295,2112,2020-08-02,6,period_23_30,B
296,2112,2020-08-03,0,period_0_00,C
297,2113,2020-08-02,6,period_23_30,E
298,2113,2020-08-03,0,period_0_00,E
299,2114,2020-08-02,6,period_23_30,E
300,2114,2020-08-03,0,period_0_00,D
301,2115,2020-08-02,6,period_23_30,A
302,2115,2020-08-03,0,period_0_00,D
303,2116,2020-08-02,6,period_23_30,E
304,2116,2020-08-03,0,period_0_00,E
305,2117,2020-08-02,6,period_23_30,E
306,2117,2020-08-03,0,period_0_00,D
307,2118,2020-08-02,6,period_23_30,E
308,2118,2020-08-03,0,period_0_00,E
309,2119,2020-08-02,6,period_23_30,B
310,2119,2020-08-03,0,period_0_00,D
311,2120,2020-08-02,6,period_23_30,D
312,2120,2020-08-03,0,period_0_00,C
313,2121,2020-08-02,6,period_23_30,E
314,2121,2020-08-03,0,period_0_00,D
315,2122,2020-08-02,6,period_23_30,F
316,2122,2020-08-03,0,period_0_00,E
317,2123,2020-08-02,6,period_23_30,F
318,2123,2020-08-03,0,period_0_00,D
319,2124,2020-08-02,6,period_23_30,B
320,2124,2020-08-03,0,period_0_00,E
321,2125,2020-08-02,6,period_23_30,F
322,2125,2020-08-03,0,period_0_00,D
323,2126,2020-08-02,6,period_23_30,C
324,2126,2020-08-03,0,period_0_00,D
325,2127,2020-08-02,6,period_23_30,A
326,2127,2020-08-03,0,period_0_00,C
327,2128,2020-08-02,6,period_23_30,A
328,2128,2020-08-03,0,period_0_00,D
329,2129,2020-08-02,6,period_23_30,D
330,2129,2020-08-03,0,period_0_00,E
331,2130,2020-08-02,6,period_23_30,E
332,2130,2020-08-03,0,period_0_00,C
333,2131,2020-08-02,6,period_23_30,F
334,2131,2020-08-03,0,period_0_00,D
335,2132,2020-08-02,6,period_23_30,B
336,2132,2020-08-03,0,period_0_00,E
337,2133,2020-08-02,6,period_23_30,E
338,2133,2020-08-03,0,period_0_00,D
339,2134,2020-08-02,6,period_23_30,E
340,2134,2020-08-03,0,period_0_00,E
341,2135,2020-08-02,6,period_23_30,D
342,2135,2020-08-03,0,period_0_00,E
343,2136,2020-08-02,6,period_23_30,E
344,2136,2020-08-03,0,period_0_00,E
345,2137,2020-08-02,6,period_23_30,E
346,2137,2020-08-03,0,period_0_00,C
347,2138,2020-08-02,6,period_23_30,F
348,2138,2020-08-03,0,period_0_00,D
349,2139,2020-08-02,6,period_23_30,D
350,2139,2020-08-03,0,period_0_00,D
351,2140,2020-08-02,6,period_23_30,C
352,2140,2020-08-03,0,period_0_00,D
353,2393,2020-12-01,1,period_15_30,A
354,2393,2020-12-03,3,period_0_30,C
355,2393,2020-12-03,3,period_5_00,B
356,2393,2020-12-06,6,period_0_00,A
357,2393,2020-12-23,2,period_23_30,C
358,2393,2020-12-24,3,period_4_00,B
359,2393,2021-01-05,1,period_4_30,C
360,2393,2021-01-15,4,period_4_30,C
361,2393,2021-01-22,4,period_12_30,B
362,2395,2020-12-06,6,period_0_00,A
363,2395,2020-12-23,2,period_23_30,A
364,2395,2020-12-24,3,period_4_00,A
365,2396,2021-01-05,1,period_4_30,B
366,2396,2021-01-15,4,period_4_30,A
367,2396,2021-01-22,4,period_12_30,A
368,2397,2020-12-01,1,period_15_30,A
369,2397,2020-12-03,3,period_0_30,A
370,2397,2020-12-24,3,period_4_00,A
371,2398,2020-12-01,1,period_15_30,A
372,2398,2020-12-03,3,period_5_00,A
373,2398,2020-12-06,6,period_0_00,A
374,2398,2020-12-23,2,period_23_30,A
375,2398,2020-12-24,3,period_3_30,A
376,2398,2020-12-24,3,period_4_00,A
377,2398,2021-01-05,1,period_4_30,A
378,2398,2021-01-15,4,period_4_30,A
379,2398,2021-01-22,4,period_12_30,A
380,2400,2020-08-02,6,period_23_30,C
381,2400,2020-08-03,0,period_0_00,D
382,2401,2020-08-02,6,period_23_30,E
383,2401,2020-08-03,0,period_0_00,D
384,2401,2020-12-02,2,period_4_30,E
385,2401,2021-03-09,1,period_10_30,E
386,2401,2021-03-11,3,period_12_00,E
387,2401,2021-03-19,4,period_9_30,F
388,2401,2021-03-23,1,period_10_30,F
389,2402,2020-08-02,6,period_23_30,F
390,2402,2020-08-03,0,period_0_00,C
391,2403,2020-08-02,6,period_23_30,E
392,2403,2020-08-03,0,period_0_00,E
393,2403,2021-03-19,4,period_9_30,F
394,2403,2021-03-23,1,period_10_30,E
395,2404,2020-08-02,6,period_23_30,E
396,2404,2020-08-03,0,period_0_00,E
397,2405,2020-08-02,6,period_23_30,B
398,2405,2020-08-03,0,period_0_00,E
399,2405,2021-03-09,1,period_10_30,E
400,2405,2021-03-11,3,period_12_00,C
401,2405,2021-03-19,4,period_9_30,F
402,2406,2020-08-02,6,period_23_30,C
403,2406,2020-08-03,0,period_0_00,D
404,2407,2020-08-02,6,period_23_30,E
405,2407,2020-08-03,0,period_0_00,D
406,2407,2020-12-02,2,period_4_30,E
407,2407,2021-03-23,1,period_10_30,E
408,2408,2020-08-02,6,period_23_30,D
409,2408,2020-08-03,0,period_0_00,E
410,2409,2020-08-02,6,period_23_30,E
411,2409,2020-08-03,0,period_0_00,C
412,2409,2021-03-11,3,period_12_00,E
413,2409,2021-03-16,1,period_11_00,D
414,2409,2021-03-19,4,period_9_30,F
415,2410,2020-08-02,6,period_23_30,D
416,2410,2020-08-03,0,period_0_00,D
417,2411,2020-08-02,6,period_23_30,D
418,2411,2020-08-03,0,period_0_00,E
419,2411,2020-12-02,2,period_4_30,F
420,2411,2021-03-09,1,period_10_30,D
421,2411,2021-03-16,1,period_11_00,F
422,2411,2021-03-19,4,period_9_30,F
423,2411,2021-03-23,1,period_10_30,F
424,2412,2020-08-02,6,period_23_30,C
425,2412,2020-08-03,0,period_0_00,C
426,2413,2020-08-02,6,period_23_30,E
427,2413,2020-08-03,0,period_0_00,C
428,2413,2021-03-11,3,period_12_00,E
429,2413,2021-03-19,4,period_9_30,F
430,2414,2020-08-02,6,period_23_30,F
431,2414,2020-08-03,0,period_0_00,D
432,2414,2021-03-23,1,period_10_30,F
433,2415,2020-08-02,6,period_23_30,F
434,2415,2020-08-03,0,period_0_00,D
435,2415,2020-12-02,2,period_4_30,F
436,2415,2021-03-09,1,period_10_30,E
437,2415,2021-03-11,3,period_12_00,F
438,2415,2021-03-16,1,period_11_00,F
439,2415,2021-03-19,4,period_9_30,F
440,2416,2020-08-02,6,period_23_30,D
441,2416,2020-08-03,0,period_0_00,D
442,2417,2020-08-02,6,period_23_30,C
443,2417,2020-08-03,0,period_0_00,C
444,2417,2020-12-02,2,period_4_30,F
445,2417,2021-03-09,1,period_10_30,E
446,2417,2021-03-16,1,period_11_00,F
447,2417,2021-03-19,4,period_9_30,D
448,2418,2020-08-02,6,period_23_30,E
449,2418,2020-08-03,0,period_0_00,D
450,2419,2020-08-02,6,period_23_30,C
451,2419,2020-08-03,0,period_0_00,D
452,2420,2020-08-02,6,period_23_30,C
453,2420,2020-08-03,0,period_0_00,D
454,2421,2020-08-02,6,period_23_30,F
455,2421,2020-08-03,0,period_0_00,D
456,2421,2020-12-02,2,period_4_30,B
457,2421,2021-03-09,1,period_10_30,F
458,2421,2021-03-11,3,period_12_00,E
459,2422,2020-08-02,6,period_23_30,E
460,2422,2020-08-03,0,period_0_00,D
461,2422,2021-03-16,1,period_11_00,C
462,2423,2020-08-02,6,period_23_30,C
463,2423,2020-08-03,0,period_0_00,E
464,2423,2020-12-19,5,period_9_30,F
465,2423,2020-12-20,6,period_15_00,F
466,2423,2020-12-20,6,period_3_30,F
467,2423,2020-12-24,3,period_15_30,F
468,2423,2020-12-25,4,period_9_30,F
469,2423,2021-01-06,2,period_14_30,F
470,2423,2021-01-18,0,period_10_00,F
471,2423,2021-01-18,0,period_11_00,F
472,2423,2021-01-18,0,period_11_30,F
473,2423,2021-01-19,1,period_13_30,F
474,2423,2021-01-19,1,period_1_00,E
475,2423,2021-01-19,1,period_9_30,F
476,2423,2021-01-20,2,period_14_00,F
477,2423,2021-03-09,1,period_10_30,F
478,2423,2021-03-16,1,period_11_00,F
479,2423,2021-03-19,4,period_9_30,E
480,2423,2021-03-23,1,period_10_30,C
481,2424,2020-08-02,6,period_23_30,C
482,2424,2020-08-03,0,period_0_00,E
483,2425,2020-08-02,6,period_23_30,C
484,2425,2020-08-03,0,period_0_00,D
485,2425,2020-12-20,6,period_15_00,F
486,2425,2020-12-24,3,period_15_30,F
487,2425,2021-01-18,0,period_10_00,F
488,2425,2021-01-18,0,period_11_00,F
489,2425,2021-01-18,0,period_11_30,F
490,2425,2021-01-19,1,period_13_00,F
491,2425,2021-01-19,1,period_13_30,F
492,2425,2021-01-19,1,period_1_00,F
493,2425,2021-01-20,2,period_14_00,F
494,2425,2021-03-11,3,period_12_00,E
495,2426,2020-08-02,6,period_23_30,E
496,2426,2020-08-03,0,period_0_00,D
497,2427,2020-08-02,6,period_23_30,E
498,2427,2020-08-03,0,period_0_00,C
499,2427,2020-12-19,5,period_9_30,F
500,2427,2020-12-20,6,period_15_00,F
501,2427,2020-12-24,3,period_15_30,F
502,2427,2020-12-25,4,period_9_30,F
503,2427,2021-01-06,2,period_14_30,F
504,2427,2021-01-18,0,period_10_00,F
505,2427,2021-01-18,0,period_11_00,F
506,2427,2021-01-18,0,period_11_30,F
507,2427,2021-01-19,1,period_13_00,F
508,2427,2021-01-19,1,period_13_30,F
509,2427,2021-01-19,1,period_1_00,F
510,2427,2021-01-19,1,period_9_30,F
511,2427,2021-01-20,2,period_14_00,F
512,2428,2020-08-02,6,period_23_30,A
513,2428,2020-08-03,0,period_0_00,E
514,2429,2020-08-02,6,period_23_30,F
515,2429,2020-08-03,0,period_0_00,C
516,2429,2020-12-19,5,period_9_30,F
517,2429,2020-12-24,3,period_15_30,F
518,2429,2021-01-06,2,period_14_30,F
519,2429,2021-01-18,0,period_11_30,F
520,2429,2021-01-19,1,period_9_30,D
521,2429,2021-01-20,2,period_14_00,F
522,2429,2021-03-23,1,period_10_30,D
523,2430,2020-08-02,6,period_23_30,E
524,2430,2020-08-03,0,period_0_00,C
525,2431,2020-08-02,6,period_23_30,E
526,2431,2020-08-03,0,period_0_00,C
527,2431,2020-12-20,6,period_15_00,F
528,2431,2020-12-24,3,period_15_30,F
529,2432,2020-08-02,6,period_23_30,D
530,2432,2020-08-03,0,period_0_00,C
531,2433,2020-08-02,6,period_23_30,E
532,2433,2020-08-03,0,period_0_00,E
533,2433,2020-12-19,5,period_9_30,F
534,2433,2020-12-20,6,period_15_00,F
535,2433,2020-12-25,4,period_10_00,A
536,2433,2021-01-06,2,period_14_30,F
537,2433,2021-01-18,0,period_11_30,F
538,2433,2021-01-19,1,period_9_30,F
539,2434,2020-08-02,6,period_23_30,E
540,2434,2020-08-03,0,period_0_00,D
541,2434,2020-12-24,3,period_15_30,F
542,2435,2020-08-02,6,period_23_30,C
543,2435,2020-08-03,0,period_0_00,D
544,2435,2020-12-02,2,period_4_30,D
545,2435,2020-12-19,5,period_9_30,F
546,2435,2020-12-24,3,period_15_30,F
547,2435,2020-12-24,3,period_5_00,F
548,2435,2021-01-06,2,period_14_30,F
549,2435,2021-03-23,1,period_10_30,F
550,2436,2020-08-02,6,period_23_30,C
551,2436,2020-08-03,0,period_0_00,D
552,2437,2020-08-02,6,period_23_30,D
553,2437,2020-08-03,0,period_0_00,E
554,2437,2020-12-19,5,period_9_30,F
555,2437,2020-12-20,6,period_15_00,F
556,2437,2020-12-20,6,period_6_00,F
557,2437,2020-12-24,3,period_15_30,F
558,2437,2020-12-24,3,period_5_00,B
559,2437,2020-12-25,4,period_10_00,C
560,2437,2020-12-25,4,period_1_30,F
561,2437,2020-12-25,4,period_9_30,E
562,2437,2021-01-06,2,period_14_30,F
563,2437,2021-01-18,0,period_10_00,C
564,2437,2021-01-19,1,period_9_30,A
565,2437,2021-03-09,1,period_10_30,C
566,2437,2021-03-11,3,period_12_00,D
567,2437,2021-03-16,1,period_11_00,B
568,2438,2020-08-02,6,period_23_30,F
569,2438,2020-08-03,0,period_0_00,D
570,2438,2021-01-06,2,period_14_30,F
571,2438,2021-01-20,2,period_1_00,D
572,2439,2020-08-02,6,period_23_30,D
573,2439,2020-08-03,0,period_0_00,D
574,2439,2020-12-18,4,period_7_30,F
575,2439,2020-12-19,5,period_14_00,F
576,2439,2020-12-19,5,period_9_30,F
577,2439,2020-12-20,6,period_15_00,F
578,2439,2020-12-24,3,period_15_30,F
579,2439,2020-12-24,3,period_3_00,F
580,2439,2020-12-24,3,period_8_30,E
581,2439,2020-12-25,4,period_10_00,F
582,2439,2020-12-25,4,period_1_30,A
583,2439,2021-01-06,2,period_14_30,F
584,2439,2021-01-18,0,period_10_00,F
585,2439,2021-01-19,1,period_1_00,F
586,2439,2021-01-19,1,period_9_30,C
587,2439,2021-01-21,3,period_9_30,E
588,2439,2021-03-23,1,period_10_30,E
589,2439,2021-04-05,0,period_13_00,F
590,2440,2020-08-02,6,period_23_30,C
591,2440,2020-08-03,0,period_0_00,D
592,2440,2020-12-20,6,period_14_30,F
593,2441,2020-08-02,6,period_23_30,D
594,2441,2020-08-03,0,period_0_00,D
595,2441,2020-12-18,4,period_1_00,A
596,2441,2020-12-19,5,period_14_00,F
597,2441,2020-12-19,5,period_9_30,F
598,2441,2020-12-20,6,period_14_30,F
599,2441,2020-12-20,6,period_15_00,F
600,2441,2020-12-24,3,period_15_30,F
601,2441,2020-12-24,3,period_3_00,F
602,2441,2021-01-06,2,period_14_30,F
603,2441,2021-01-18,0,period_10_00,F
604,2441,2021-01-19,1,period_1_00,E
605,2441,2021-03-11,3,period_12_00,C
606,2441,2021-03-16,1,period_11_00,F
607,2441,2021-03-23,1,period_10_30,F
608,2441,2021-04-05,0,period_13_00,F
609,2441,2021-04-07,2,period_14_00,F
610,2442,2020-08-02,6,period_23_30,E
611,2442,2020-08-03,0,period_0_00,D
612,2442,2020-11-30,0,period_6_00,B
613,2442,2021-01-20,2,period_1_00,F
614,2443,2020-08-02,6,period_23_30,E
615,2443,2020-08-03,0,period_0_00,D
616,2443,2020-11-26,3,period_1_00,E
617,2443,2020-11-30,0,period_4_30,B
618,2443,2020-11-30,0,period_5_00,B
619,2443,2020-12-02,2,period_10_00,F
620,2443,2020-12-02,2,period_4_30,F
621,2443,2020-12-03,3,period_3_30,F
622,2443,2020-12-03,3,period_4_30,D
623,2443,2020-12-10,3,period_11_00,B
624,2443,2020-12-16,2,period_10_00,F
625,2443,2020-12-18,4,period_1_00,B
626,2443,2020-12-18,4,period_7_30,E
627,2443,2020-12-19,5,period_14_00,F
628,2443,2020-12-19,5,period_9_30,F
629,2443,2020-12-20,6,period_14_30,F
630,2443,2020-12-24,3,period_0_00,F
631,2443,2020-12-24,3,period_0_30,F
632,2443,2020-12-24,3,period_3_00,F
633,2443,2020-12-24,3,period_8_30,E
634,2443,2020-12-25,4,period_10_00,F
635,2443,2020-12-25,4,period_1_30,D
636,2443,2020-12-25,4,period_9_30,E
637,2443,2021-01-05,1,period_1_00,F
